Date : 2023-11-12 00:43:41
Directory : d:\ROBLOX STUDIO\Rojo\UTP\src
Total : 476 files,  26301 codes, 1194 comments, 4660 blanks, all 32155 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Admin\gotoPlace.lua                                | Lua        |         28 |          0 |          0 |         28 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Admin\gotoPlaceServer.lua                          | Lua        |         18 |          0 |          6 |         24 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Admin\kick.lua                                     | Lua        |         13 |          0 |          0 |         13 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Admin\kickServer.lua                               | Lua        |          6 |          0 |          1 |          7 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Admin\kill.lua                                     | Lua        |         13 |          0 |          0 |         13 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Admin\killServer.lua                               | Lua        |          8 |          0 |          1 |          9 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Admin\respawn.lua                                  | Lua        |         15 |          0 |          1 |         16 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Admin\respawnServer.lua                            | Lua        |          8 |          0 |          1 |          9 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Admin\teleport.lua                                 | Lua        |         22 |          0 |          0 |         22 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Admin\teleportServer.lua                           | Lua        |         18 |          0 |          4 |         22 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Debug\blink.lua                                    | Lua        |         16 |          2 |          5 |         23 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Debug\fetch.lua                                    | Lua        |         13 |          0 |          0 |         13 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Debug\fetchServer.lua                              | Lua        |          4 |          0 |          1 |          5 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Debug\getPlayerPlaceInstance.lua                   | Lua        |         21 |          0 |          0 |         21 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Debug\getPlayerPlaceInstanceServer.lua             | Lua        |         23 |          0 |          4 |         27 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Debug\position.lua                                 | Lua        |         22 |          0 |          4 |         26 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Debug\thru.lua                                     | Lua        |         25 |          2 |          6 |         33 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Debug\uptime.lua                                   | Lua        |          7 |          0 |          0 |          7 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Debug\uptimeServer.lua                             | Lua        |         10 |          0 |          1 |         11 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Debug\version.lua                                  | Lua        |         10 |          0 |          3 |         13 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\alias.lua                                  | Lua        |         25 |          0 |          2 |         27 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\bind.lua                                   | Lua        |         56 |          0 |          9 |         65 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\clear.lua                                  | Lua        |         21 |          0 |          3 |         24 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\convertTimestamp.lua                       | Lua        |         18 |          0 |          1 |         19 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\echo.lua                                   | Lua        |         16 |          0 |          1 |         17 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\edit.lua                                   | Lua        |         65 |          0 |         14 |         79 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\history.lua                                | Lua        |         25 |          0 |          3 |         28 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\hover.lua                                  | Lua        |         16 |          0 |          5 |         21 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\jsonArrayDecode.lua                        | Lua        |         19 |          0 |          3 |         22 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\jsonArrayEncode.lua                        | Lua        |         17 |          0 |          2 |         19 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\len.lua                                    | Lua        |         16 |          0 |          1 |         17 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\math.lua                                   | Lua        |         34 |          0 |          2 |         36 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\pick.lua                                   | Lua        |         21 |          0 |          1 |         22 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\rand.lua                                   | Lua        |         22 |          0 |          1 |         23 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\replace.lua                                | Lua        |         31 |          0 |          1 |         32 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\resolve.lua                                | Lua        |         30 |          0 |          2 |         32 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\run.lua                                    | Lua        |         19 |          0 |          1 |         20 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\runLines.lua                               | Lua        |         31 |          0 |          8 |         39 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\runif.lua                                  | Lua        |         47 |          0 |          6 |         53 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\unbind.lua                                 | Lua        |         23 |          0 |          2 |         25 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\var.lua                                    | Lua        |         21 |          0 |          2 |         23 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\varServer.lua                              | Lua        |         48 |          0 |         13 |         61 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\varSet.lua                                 | Lua        |         22 |          0 |          2 |         24 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility\varSetServer.lua                           | Lua        |         48 |          0 |         16 |         64 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\help.lua                                           | Lua        |         58 |          2 |          5 |         65 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\BindableResource.lua                                  | Lua        |          3 |          0 |          1 |          4 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\BrickColor.lua                                        | Lua        |         68 |          0 |         11 |         79 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\Color3.lua                                            | Lua        |         43 |          0 |         10 |         53 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\Command.lua                                           | Lua        |         20 |          0 |          6 |         26 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\ConditionFunction.lua                                 | Lua        |          3 |          0 |          1 |          4 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\Duration.lua                                          | Lua        |         90 |         13 |         10 |        113 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\JSON.lua                                              | Lua        |         11 |          0 |          3 |         14 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\MathOperator.lua                                      | Lua        |         40 |          0 |          1 |         41 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\Player.lua                                            | Lua        |         32 |          0 |          9 |         41 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\PlayerId.lua                                          | Lua        |         50 |          0 |         13 |         63 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\Primitives.lua                                        | Lua        |        114 |          0 |         27 |        141 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\StoredKey.lua                                         | Lua        |         28 |          0 |          7 |         35 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\Team.lua                                              | Lua        |         41 |          0 |         12 |         53 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\Type.lua                                              | Lua        |         20 |          0 |          6 |         26 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\URL.lua                                               | Lua        |         16 |          0 |          5 |         21 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\UserInput.lua                                         | Lua        |         24 |          0 |          8 |         32 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes\Vector.lua                                            | Lua        |         25 |          0 |          6 |         31 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\CmdrClient\CmdrInterface\AutoComplete.lua                          | Lua        |        149 |         27 |         41 |        217 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\CmdrClient\CmdrInterface\Window.lua                                | Lua        |        256 |         23 |         58 |        337 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\CmdrClient\CmdrInterface\init.lua                                  | Lua        |        117 |          3 |         32 |        152 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\CmdrClient\DefaultEventHandlers.lua                                | Lua        |         13 |          0 |          2 |         15 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\CmdrClient\init.lua                                                | Lua        |         90 |         14 |         23 |        127 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\CreateGui.lua                                                      | Lua        |        195 |          0 |         23 |        218 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\Initialize.lua                                                     | Lua        |         28 |          1 |         12 |         41 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\Shared\Argument.lua                                                | Lua        |        196 |          8 |         54 |        258 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\Shared\Command.lua                                                 | Lua        |        160 |         22 |         41 |        223 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\Shared\Dispatcher.lua                                              | Lua        |        135 |         15 |         40 |        190 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\Shared\Registry.lua                                                | Lua        |        213 |         24 |         58 |        295 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\Shared\Util.lua                                                    | Lua        |        423 |         35 |         91 |        549 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\init.lua                                                           | Lua        |         33 |          1 |          7 |         41 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\README.md                                                               | Markdown   |         17 |          0 |          6 |         23 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\default.project.json                                                    | JSON       |          6 |          0 |          0 |          6 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\test-place.project.json                                                 | JSON       |         12 |          0 |          2 |         14 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\RemotePacketSizeCounter.lua                                        | Lua        |          1 |          0 |          1 |          2 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\TableKit.lua                                                       | Lua        |          1 |          0 |          1 |          2 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\CHANGELOG.md                                            | Markdown   |         94 |          0 |         61 |        155 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\CONTRIBUTORS.md                                         | Markdown   |         15 |          0 |          9 |         24 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\README.md                                               | Markdown   |         10 |          0 |          9 |         19 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\benchmarks\Hex.bench.luau                               | Lua        |         23 |          2 |          8 |         33 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\default.project.json                                    | JSON       |          6 |          0 |          0 |          6 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs\Installation.md                                    | Markdown   |         12 |          0 |          7 |         19 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs\Technical Details\Identifiers.md                   | Markdown   |         22 |          0 |          8 |         30 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs\Technical Details\_category_.json                  | JSON       |          4 |          0 |          0 |          4 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs\Tutorials\Best Practices.md                        | Markdown   |          4 |          0 |          1 |          5 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs\Tutorials\Getting Started.md                       | Markdown   |         88 |          0 |         28 |        116 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs\Tutorials\Logging.md                               | Markdown   |         10 |          0 |          7 |         17 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs\Tutorials\Using Identifiers.md                     | Markdown   |         29 |          0 |         10 |         39 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs\Tutorials\_category_.json                          | JSON       |          4 |          0 |          0 |          4 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs\intro.md                                           | Markdown   |          9 |          0 |          7 |         16 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\package-lock.json                                       | JSON       |      5,028 |          0 |          1 |      5,029 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\package.json                                            | JSON       |         36 |          0 |          1 |         37 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\release.js                                              | JavaScript |        158 |          1 |         18 |        177 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Client\ClientBridge.luau                            | Lua        |        234 |         18 |         49 |        301 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Client\ClientConnection.luau                        | Lua        |         21 |          0 |         12 |         33 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Client\ClientIdentifiers.luau                       | Lua        |         90 |         14 |         27 |        131 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Client\ClientProcess.luau                           | Lua        |         79 |         14 |         20 |        113 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Client\init.luau                                    | Lua        |         42 |          1 |         15 |         58 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Constants.luau                                      | Lua        |          9 |          1 |          4 |         14 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\PublicTypes.luau                                    | Lua        |         47 |          1 |         16 |         64 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server\HandleInvalidPlayer.luau                     | Lua        |          6 |          2 |          3 |         11 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server\PlayerContainers\All.luau                    | Lua        |          8 |          3 |          5 |         16 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server\PlayerContainers\Except.luau                 | Lua        |          6 |          1 |          3 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server\PlayerContainers\Players.luau                | Lua        |          6 |          1 |          3 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server\PlayerContainers\Single.luau                 | Lua        |          6 |          1 |          3 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server\PlayerContainers\init.luau                   | Lua        |          7 |          1 |          2 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server\ServerBridge.luau                            | Lua        |        267 |         17 |         49 |        333 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server\ServerConnection.luau                        | Lua        |         21 |          1 |         12 |         34 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server\ServerIdentifiers.luau                       | Lua        |         53 |          2 |         14 |         69 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server\ServerProcess.luau                           | Lua        |        188 |         30 |         46 |        264 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server\init.luau                                    | Lua        |         40 |          1 |         14 |         55 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Studio\MockBridge.luau                              | Lua        |         84 |          3 |         24 |        111 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Studio\MockConnection.luau                          | Lua        |         18 |          0 |          9 |         27 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Studio\MockIdentifiers.luau                         | Lua        |          0 |          0 |          1 |          1 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Types.luau                                          | Lua        |         39 |          2 |         12 |         53 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Utilities\NetworkUtils.luau                         | Lua        |         22 |          5 |          8 |         35 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Utilities\Output.luau                               | Lua        |         48 |          4 |         18 |         70 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Utilities\RecycledSpawn.luau                        | Lua        |         19 |          0 |          4 |         23 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Utilities\isEditMode.luau                           | Lua        |          2 |          0 |          2 |          4 |
